uid, start, end, summary, description, location
CSVConvert52dfc3485df142d3a33cfd81b3fd083f,"04 August 2012 10:00:00 AM -0500","04 August 2012 12:40:00 PM -0500","Cycling (Track): MEN - Omnium: 30km points race, elimination race. Sprint: 1/16 finals repechages, 1/8 finals & repechages, race for 9th-12th places. WOMEN - Team Pursuit: round 1, finals, victory ceremony","","Velodrome, Olympic Park, Stratford, London"
CSVConverta9cf56baec638b9ee4e860ef6b5f9f3d,"05 August 2012 10:00:00 AM -0500","05 August 2012 01:05:00 PM -0500","Cycling (Track): MEN - Omnium: 15km scratch race, 1km time trial, victory ceremony. Sprint: quarter-finals, race for 5th-8th places. WOMEN- Sprint: 1/16 finals & repechages, 1/8 finals & repechages, race for 9th-12th places","","Velodrome, Olympic Park, Stratford, London"
CSVConvert66d9710e8c414c13c2260b2fb9a58bcd,"06 August 2012 03:30:00 AM -0500","06 August 2012 05:50:00 AM -0500","Canoe Sprint: MEN - Canoe Single (C1) 1000m: heats, semi-finals. Kayak Single (K1) 1000m: heats, semi-finals. Kayak Double (K2) 1000m: heats, semi-final. WOMEN - Kayak Four (K4) 500m: heats, semi-final","","Eton Dorney, Buckinghamshire"
CSVConvertda75c773ea8959f0e2a4123d1da29f52,"05 August 2012 07:30:00 AM -0500","05 August 2012 10:30:00 AM -0500","Boxing: WOMEN - Fly Weight (51kg): round of 16. Light Weight (60kg): round of 16. Middle Weight (75kg): round of 16","","ExCel, Docklands, London"
CSVConvert4deaa3dcfb577f7977b5f2e164dd1438,"06 August 2012 07:30:00 AM -0500","06 August 2012 10:30:00 AM -0500","Boxing: WOMEN - Fly Weight (51kg): quarter-finals. Light Weight (60kg): quarter-finals. Middle Weight (75kg): quarter-finals","","ExCel, Docklands, London"
CSVConvert9b8397fdc23907af25370f2eb3989bd7,"04 August 2012 02:30:00 PM -0500","04 August 2012 05:30:00 PM -0500","Boxing: MEN - Light Fly Weight (49kg): round of 16. Light Welter Weight (64kg): round of 16. Light Heavy Weight (81kg): round of 16","","ExCel, Docklands, London"
CSVConvert78640701f35d38fa10caf6609c36c35b,"04 August 2012 07:30:00 AM -0500","04 August 2012 10:30:00 AM -0500","Boxing: MEN - Light Fly Weight (49kg): round of 16. Light Welter Weight (64kg): round of 16. Light Heavy Weight (81kg): round of 16","","ExCel, Docklands, London"
CSVConvertbf78f2b07cf35a9bb5e6ae67972501de,"03 August 2012 02:30:00 PM -0500","03 August 2012 04:30:00 PM -0500","Boxing: MEN - Fly Weight (52kg): round of 16. Welter Weight (69kg): round of 16","","ExCel, Docklands, London"
CSVConvertdcb7cb7091c5f874fdeb44be4481073b,"05 August 2012 02:30:00 PM -0500","05 August 2012 04:30:00 PM -0500","Boxing: MEN - Bantam Weight (56kg): quarter-finals. Heavy Weight (91kg): quarter-finals","","ExCel, Docklands, London"
CSVConvertf3ed9019f0180803733e23abbad2a5bb,"05 August 2012 12:00:00 PM -0500","05 August 2012 01:50:00 PM -0500","Beach Volleyball: WOMEN - Quarter-finals (2 matches)","","Horse Guards Parade, London"
CSVConvert57ecdbdadc8671dd0f54ba665a916b78,"05 August 2012 04:00:00 PM -0500","05 August 2012 05:50:00 PM -0500","Beach Volleyball: WOMEN - Quarter-finals (2 matches)","","Horse Guards Parade, London"
CSVConverte17b603d47ab9de9639ed9c689e99887,"04 August 2012 07:00:00 AM -0500","04 August 2012 08:50:00 AM -0500","Beach Volleyball: MEN+WOMEN - Round of 16 (1 match per gender)","","Horse Guards Parade, London"
CSVConvert82d2a74da61cfece2d1f74139d2d2430,"04 August 2012 03:00:00 AM -0500","04 August 2012 04:50:00 AM -0500","Beach Volleyball: MEN+WOMEN - Round of 16 (1 match per gender)","","Horse Guards Parade, London"
CSVConvert7de5b9332b379f786510a5df388cd7c8,"03 August 2012 11:00:00 AM -0500","03 August 2012 12:50:00 PM -0500","Beach Volleyball: MEN+WOMEN - Round of 16 (1 match per gender)","","Horse Guards Parade, London"
CSVConvert424ccbedbe3c41daa5166c06818a9733,"04 August 2012 03:00:00 PM -0500","04 August 2012 04:50:00 PM -0500","Beach Volleyball: MEN+WOMEN - Round of 16 (1 match per gender)","","Horse Guards Parade, London"
CSVConvert14c1ec5a433aa45f332a98dcf85d8e9e,"04 August 2012 11:00:00 AM -0500","04 August 2012 12:50:00 PM -0500","Beach Volleyball: MEN+WOMEN - Round of 16 (1 match per gender)","","Horse Guards Parade, London"
CSVConvert11de1e3e640da7382572d89d45f5efaa,"03 August 2012 03:00:00 PM -0500","03 August 2012 04:50:00 PM -0500","Beach Volleyball: MEN+WOMEN - Round of 16 (1 match per gender)","","Horse Guards Parade, London"
CSVConvertfba1f3476ba4de2cc5e5cb8294a4f11f,"03 August 2012 02:00:00 PM -0500","03 August 2012 03:00:00 PM -0500","Basketball: WOMEN - Preliminaries (2 games)","","Basketball Arena, Olympic Park, Stratford, London"
CSVConvertf00eebca99d94115bc861af3b4e9e02c,"05 August 2012 03:00:00 AM -0500","05 August 2012 07:00:00 AM -0500","Basketball: WOMEN - Preliminaries (2 games)","","Basketball Arena, Olympic Park, Stratford, London"
